,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,mae_test,rmse_test,time
0,PatchTST,{},6318090,3.6559770107269287,3.6093199253082275,3.6765143871307373,4.29668664932251,3.6108959,4.2096825,886
1,RNNPlus,{},10401,1.0759536027908325,1.3657431602478027,1.7974774837493896,2.4207756519317627,1.7078507,2.3366947,54
2,TransformerLSTMPlus,{},858753,1.2945797443389893,1.3066298961639404,1.7364505529403687,2.349202871322632,1.6857536,2.324787,559
3,TransformerGRUPlus,{},792705,1.288832426071167,1.305449366569519,1.7357066869735718,2.3457682132720947,1.6853873,2.3248856,895
4,TSSequencerPlus,{},210481,0.2516716420650482,1.1692285537719727,1.5823166370391846,2.2085354328155518,1.4203621,1.9869764,987
5,InceptionTimePlus,{},454977,0.07886461168527603,1.0935333967208862,1.5020990371704102,2.0782790184020996,1.4231755,2.0029352,964
6,ResNetPlus,{},478337,0.03527821600437164,1.069655418395996,1.479415774345398,2.04201078414917,1.419688,1.9673321,391
7,ConvTranPlus,{},12224,0.5198804140090942,1.014804482460022,1.4196689128875732,2.008378267288208,1.3123966,1.8525685,134
8,XCMPlus,{},5635,0.754091203212738,0.9614410400390625,1.3641573190689087,1.9203778505325317,1.2208052,1.7196897,114
9,TSTPlus,{},398849,0.9307913184165955,0.9515661001205444,1.357285976409912,1.9146738052368164,1.2353398,1.7461963,531
10,XceptionTimePlus,{},234865,0.7699183225631714,0.9261451959609985,1.326535701751709,1.8699264526367188,1.1943249,1.6771555,1477
